Name,Price,Quantity,Unit
Pack Aceite Vegetal PRIMOR Premium 900ml Botella 2,18.50,2,un
Aceite de Soya SAO Botella 900,6.50,900,ml
Aceite Vegetal PRIMOR Premium Botella 900,10.50,900,ml
Fideo Spaghetti DON VITTORIO Bolsa 950,5.50,950,g
Azúcar Rubia BELL'S Bolsa 5,19.80,5,kg
Galletas de Soda SAN JORGE Paquete 7,3.90,7,un
Aceite Vegetal BELL'S Botella 900,5.90,900,ml
Pack Aceite Vegetal PRIMOR Clásico Botella 900ml x 2,16.70,2,un
Mayonesa ALACENA Doypack 850,19.60,850,g
Trozos de Atún PRIMOR en Aceite Vegetal Lata 140,5.50,140,g
Galletas Saladas FIELD Soda Paquete 6,3.50,6,un
Lentejas BELL'S Bolsa 500,4.90,500,g
Lenteja Bebé BELL'S Bolsa 500,4.90,500,g
Azúcar Rubia BELL'S Bolsa 2,8.60,2,kg
Azúcar Rubia CARTAVIO Bolsa 5,21.90,5,kg
Arroz Extra Añejo FARAON Naranja Bolsa 5,27.60,5,kg
Sal Marina EMSAL Mesa Bolsa 1,2.40,1,kg
Arroz Extra COSTEÑO Bolsa 5,27.50,5,kg
Arroz Extra BELL'S Bolsa 5,20.80,5,kg
Pack Arroz Extra Añejo FARAON Naranja Bolsa 5kg + Aceite Vegetal PRIMOR Premium Botella 900,32.99,900,ml
