Name,Price,Quantity,Unit
Carne Molida de Res Empacada al vacío EL BUEN CORTE,24.80,1,un
Pollo Entero Fresco con Menudencia,8.40,1,un
Filete de Pechuga de Pollo Congelado SAN FERNANDO x ,22.90,1,kg
Filete de Pechuga Importado SADIA Bolsa 1,13.50,1,kg
Filete de Tilapia BELL'S Bolsa 1,20.90,1,kg
Filete Pechuga Corte Mariposa Empacada al vacío SAN FERNANDO,25.40,1,un
Muslo de Pollo Empacada al vacío SAN FERNANDO,16.49,1,un
Pechuga Especial de Pollo Empacada al vacío SAN FERNANDO,14.50,1,un
Bisteck de Res EL BUEN CORTE,39.90,1,un
Guiso Tierno de Res EL BUEN CORTE,32.90,1,un
Carne Molida Light de Res Empacada al vacío EL BUEN CORTE,34.80,1,un
Sangrecita de Pollo REDONDOS Bolsa 500,4.90,500,g
Piernitas de Pollo COPACOL Bolsa 800,10.50,800,g
Medallón de Pavita SAN FERNANDO Congelado,21.90,1,un
Rodaja de Pierna de Pavita SAN FERNANDO Congelado,16.90,1,un
Pechuga de Pavita en Trozos SAN FERNANDO Congelado,17.90,1,un
Pierna con Encuentro de Pollo Empacada al vacío SAN FERNANDO,13.50,1,un
Sasami de Pollo Empacada al vacío SAN FERNANDO,24.90,1,un
Hígado de pollo Empacada al vacío SAN FERNANDO,8.90,1,un
