Name,Price,Quantity,Unit
Pan Ciabatta Refrigerado Bolsa 6,4.90,6,un
Dedos de Pollo AVINKA 270g Bolsa 12un x 270,11.50,270,g
Nuggets de Pechuga de Pollo REDONDOS Caja 36,15.90,36,un
Pan Ciabatta Precocido Congelado BELL'S Bolsa 5,2.90,5,un
Nuggets de Pollo San Fernando Paquete 10,4.40,10,un
Hamburguesa de pollo REDONDOS Bolsa 14,12.70,14,un
Nuggets Pechuga de Pollo San Fernando Caja 24,14.20,24,un
Nuggets de Pollo Precocido AVINKA Bolsa 15,9.50,15,un
Nuggets de Pollo con Quinua AVINKA Bolsa 15,9.49,15,un
Nuggets de Pollo con Brócoli AVINKA Bolsa 15,9.50,15,un
Chicharrón de Pollo AVINKA Bolsa 350,16.50,350,g
Hamburguesa de Carne La Casera SAN FERNANDO Bolsa 910,12.50,910,g
Hamburguesa de Carne La Super SAN FERNANDO Bolsa 850,12.70,850,g
Tiras de Pechuga de Pollo Empanizados REDONDOS Bolsa 300,12.90,300,g
Hamburguesa OTTO KUNZ Premium de Res Bolsa 8,23.90,8,un
Hamburguesa de Res OREGON Foods Bolsa 8,26.90,8,un
Helado D'ONOFRIO Peziduri Chocochips Cremoso Pote 900,10.50,900,ml
Helado D'ONOFRIO Peziduri Chocolate Cremoso Pote 900,10.50,900,ml
Helado D'ONOFRIO Peziduri Lúcuma Cremoso Pote 900,10.50,900,ml
Pop Corn Chicken AVINKA Bolsa 350,13.70,350,g
