Name,Price,Quantity,Unit
Licuadora OSTER 1.5L BLSTKAGMPB053 Sandía,179.00,1,un
Olla Arrocera OSTER 1.8L CKSTRC1700R Rojo,99.00,1,un
Olla Arrocera OSTER 1.8L CKSTRC1700B053 Negro,109.00,1,un
Freidora de Aire OSTER 6L CKSTAF60WDDF Negro,469.00,1,un
Freidora de Aire OSTER 4L CKSTAF40WDDF Negro,319.00,1,un
Licuadora OSTER 1.25L Clásica 2 velocidades 250-22 Cromado,239.00,1,un
Refrigeradora INDURAMA 508L No Frost RI-788DI Croma,"2,099.00",1,un
Cafetera THOMAS Expresso 4 Tazas TH-129E Blanco con Plateado,179.00,1,un
Refrigeradora BLACKLINE TM 340L No Frost Inox,"1,299.00",1,un
Refrigeradora INDURAMA 203L RI-359I Croma,"1,099.00",1,un
Frigobar HISENSE 45L RR59NL2A Plateado,329.00,1,un
Horno Microondas Cheff Samsung 32L MS32DG4504AGPE,469.00,1,un
Lavadora Samsung EcoBubble™ 13KG Negra WA13CG5441BV/PE,"1,799.00",1,un
Lavadora BLACKLINE Carga Superior 19kg SPBL19TL Gris Oscuro,"1,299.00",1,un
Horno Eléctrico BLACKLINE 38L GR38BR Negro,199.00,1,un
Refrigeradora HISENSE 205L Frost RD267H Gris,799.00,1,un
Olla Arrocera BLACKLINE 1.5L RC-8R Cobre,59.00,1,un
Cocina a Gas INDURAMA 5 Quemadores Cantabria QZ Croma,"1,149.00",1,un
Cocina a Gas INDURAMA 4 Quemadores CORUÑA Croma,799.00,1,un
Lavadora BLACKLINE Carga Superior 16Kg SPBL16TL Gris Oscuro,"1,099.00",1,un
