Name,Price,Quantity,Unit
Cebolla Roja P x ,1.70,1,kg
Tomate Italiano,5.49,1,un
Limón Ácido,2.70,1,un
Zanahoria,1.78,1,un
Plátano de Seda,2.70,1,un
Palta Fuerte,9.90,1,un
Papaya,3.60,1,un
Mandarina Malvacea,4.50,1,un
Naranja para Jugo,1.60,1,un
Camote Amarillo Procesado,3.19,1,un
Papa Blanca,2.88,1,un
Pimiento Morrón,5.50,1,un
Mango Edward,3.49,1,un
Papa Blanca Yungay,3.69,1,un
Blueberries BELL'S FRESCOS Bandeja 500,14.40,500,g
Culantro BELL'S Bolsa 60,1.99,60,g
Papa Amarilla Tumbay,5.96,1,un
Zapallo Macre,2.39,1,un
Sandía,1.50,1,un
Manzana Delicia,5.60,1,un
