Name,Price,Quantity,Unit
Huevos Pardos BELL'S Bandeja 30,19.90,30,un
Leche UHT sin Lactosa GLORIA Zero Caja 1L Paquete 3,16.40,3,un
Leche Reconstituida Entera GLORIA Lata 390g Paquete 6,23.50,6,un
Mantequilla GLORIA Pote 390,17.79,390,g
Huevos Pardos LA CALERA Paquete 30,19.90,30,un
Leche Light GLORIA Lata 390g Paquete 6,24.80,6,un
Leche GLORIA Zero Lacto Lata 390g Paquete 6,24.80,6,un
Yogurt Parcialmente Descremado GLORIA Sabor a Fresa Galonera 1.7,9.20,1.7,kg
Mezcla Láctea IDEAL Cremosita Lata 390g Paquete 6,20.90,6,un
Mantequilla con Sal LAIVE Barra 180,11.90,180,g
Leche UHT GLORIA Light Pack 3un x 1,16.40,1,l
Huevos de Gallina BELL'S Pardos Bandeja 15,10.99,15,un
Leche UHT GLORIA Entera Pack 3un x 1,16.40,1,l
Leche sin Lactosa LAIVE Botella 390g Paquete 6,22.90,6,un
Mantequilla con Sal GLORIA Paquete 180,11.90,180,g
Leche sin Lactosa LAIVE UHT Caja 946ml Paquete 4,19.90,4,un
Leche sin Lactosa LAIVE Light Botella 390g Paquete 6,22.90,6,un
Yogurt Parcialmente Descremado GLORIA Sabor a Vainilla Galonera 1.7,9.20,1.7,kg
Mezcla Láctea BONLÉ Familiar 6 Pack Caja 480,22.50,480,g
Yogurt Batido GLORIA Griego Sabor Frutos Rojos Bolsa 800,7.00,800,g
