Name,Price,Quantity,Unit
Papel Bond CLASS & WORK A4 Paquete 500 Hojas,12.40,1,un
Cuaderno CLASS&WORK Cuadriculado 72Hojas,2.30,1,un
Plumones CLASS&WORK Colores Paquete 12,2.20,12,un
Borrador CLASS&WORK KR970711,1.00,1,un
Crayones Jumbo CLASS&WORK Paquete 12,3.50,12,un
Plumones CLASS & WORK Estuche 24,3.90,24,un
Lápiz CLASS&WORK Caja 12,2.50,12,un
Plastilina CLASS&WORK KR971796 Blíster 12,3.90,12,un
Colores Jumbo CLASS&WORK Paquete 12un + Tajador,6.90,1,un
Crayones Delgados CLASS&WORK Paquete 12,1.90,12,un
Cuaderno Anillado CLASS&WORK Tapa Dura Cuadriculado 160 Hojas 5 Divisones,10.90,1,un
Plumones Jumbo CLASS&WORK KR971413 Paquete 12,4.50,12,un
Tajador Doble CLASS&WORK KR970531,0.70,1,un
Colores Triangulares CLASS & WORK Caja 24,5.50,24,un
Témperas CLASS & WORK Caja 7,4.50,7,un
Colores CLASS&WORK Triangulares Caja 15,3.50,15,un
Cuaderno Cuadriculado CLASS&WORK Summer Vibes 72 Hojas,2.10,1,un
Brief Planner 2025 Stitch DGNOTTAS,39.90,1,un
Calendario de escritorio Pusheen2025 ARTESCO,21.90,1,un
Calendario de escritorio ARTESCO Stitch 2025,21.90,1,un
