Name,Price,Quantity,Unit
Tortillas BIMBO Clásicas Bolsa 12,8.90,12,un
Pan de Molde Blanco BIMBO Extra Grande Bolsa 750,12.50,750,g
Panetón D'ONOFRIO Caja 880g Paquete 6,194.40,6,un
Panetón D'ONOFRIO Bolsa 880,29.90,880,g
Tortillas BIMBO Integrales Bolsa 12,8.90,12,un
Panetón D'ONOFRIO Bolsa 880g Paquete 6,176.40,6,un
Gelatina UNIVERSAL Sabor a Fresa Bolsa 130,3.99,130,g
Leche Condensada BELL'S Lata 390,4.60,390,g
Tortillas BIMBO Cero Cero Bolsa 280,8.90,280,g
Pan Francés x ,7.90,1,kg
Panetón BELL'S Bolsa 800,10.20,800,g
Gelatina UMSHA Sabor a Fresa Bolsa 120,3.20,120,g
Leche Condensada NESTLÉ Lata 393,6.00,393,g
Pan de Yema LA FLORENCIA Bolsa 310,4.20,310,g
Pan de Molde BIMBO Integral Bolsa 750,12.60,750,g
Petit Pan Embolsado 550,7.80,550,g
Pan de Molde UNIÓN Multisemillas y Avena Bolsa 540,10.89,540,g
Harina de Trigo Preparada BLANCA FLOR Bolsa 1,8.49,1,kg
Panetón BLANCA FLOR Bolsa 900,22.00,900,g
Pan Ciabatta x ,7.90,1,kg
